good_assess_num,good_name,good_price,shop_name,shop_site,shop_tel
10+,七匹狼夹克外套 新品 男士时尚休闲立领单夹克 男装 101557,,七匹狼官方旗舰店,//shop.suning.com/70075676/index.html,18060928657
,,,,,
10+,战地吉普AFS JEEP男士夹克 水洗纯棉休闲茄克外套 男装立领宽松大码夹克衫,,AFS JEEP战地吉普举翼专营店,//shop.suning.com/70067499/index.html,13918246961
,,,,,
300+,迪赛吉普秋装新款男士夹克青年立领男装外套韩版修身薄款茄克潮,,迪赛吉普旗舰店,http://dssjeep.suning.com,0595-88800029
,,,,,
50+,才子男装（TRIES）夹克 男士2016年新款四色 修身时尚休闲夹克,,才子官方旗舰店,//shop.suning.com/70100229/index.html,
,,,,,
4,恒源祥男士外套茄克2016秋冬季新款商务休闲纯色立领大码夹克衫薄,,恒源祥旗舰店,//shop.suning.com/70062841/index.html,18903888209
,,,,,
10+,CARTELO/卡帝乐鳄鱼夹克男秋冬新款男士修身立领休闲外套免烫,,卡帝乐鳄鱼服装旗舰店,http://cartelofushi.suning.com,
,,,,,
10+,诺妮梦 2016 新款中老年人男士夹克衫中年上衣休闲外套男装立领派克爸爸春秋装外套 暗红 4XL/190,,梦倾仪服装专营店,http://nnmqy.suning.com,18826430966
,,,,,
7,千纸鹤秋款新品 青年中长款风衣男士商务休闲拼接连帽外套男3036,,千纸鹤旗舰店,//shop.suning.com/70068956/index.html,
,,,,,
7,才子男装（TRIES）夹克 男士2016年秋冬新款修身纯色立领商务休闲简约百搭夹克外套,,才子官方旗舰店,//shop.suning.com/70100229/index.html,
,,,,,
40+,HLA海澜之家纯色摇粒绒保暖夹克春季热卖立领男士夹克HWJAJ3N801A,,海澜之家官方旗舰店,//shop.suning.com/70081108/index.html,
,,,,,
1,雅戈尔YOUNGOR 男士商务休闲夹克 修身单外套JK043,,雅戈尔官方旗舰店,http://youngor.suning.com,0574-56577145
,,,,,
4,七匹狼夹克男士薄棉立领单茄克商务休闲外套2016秋冬新款1081743,,七匹狼官方旗舰店,//shop.suning.com/70075676/index.html,18060928657
,,,,,
40+,吉普盾男士休闲春装夹克外套服 纯棉大码男装上衣宽松男版茄克衫,,吉普盾牛仔服饰专营店,//shop.suning.com/70128084/index.html,020-82881499
,,,,,
700+,新款男式秋冬四粒扣休闲夹克韩版纯色百搭时尚外套,,男风窗官方旗舰店,//shop.suning.com/70125778/index.html,13336060414
,,,,,
400+,KXP 男士秋季薄款夹克衫青少年韩版修身外套潮学生休闲上衣服青年大码男装,,KXP旗舰店,//shop.suning.com/70073866/index.html,18960467638
,,,,,
800+,2016秋装新款情侣夹克 时尚百搭防晒衣夹克 男士夹克 女夹克 情侣夹克 501,,古仕卡特男装专营店,//shop.suning.com/70092449/index.html,
,,,,,
1400+,爱尚潮流 2017春季新款男士夹克外套时尚休闲简约立领夹克 深蓝色 XL,,爱尚潮流旗舰店,//shop.suning.com/70127375/index.html,18807909158
,,,,,
200+,AFS JEEP战地吉普春新款冲锋夹克上衣 男装正品旅游运动户外休闲外套086,,战地吉普舜孜专营店,//shop.suning.com/70085867/index.html,13966375347
,,,,,
20+,战地吉普AFS JEEP男士纯棉夹克 男装春秋休闲翻领夹克 商务休闲免烫夹克衫外套男,,AFS JEEP战地吉普举翼专营店,//shop.suning.com/70067499/index.html,13918246961
,,,,,
10+,勎霸 男士夹克外套2016新款中年宽松夹克男薄款商务男装秋季翻领外套男,,云麦服饰专营店,http://yunmai.suning.com,15810952689
,,,,,
20+,战地吉普AFS JEEP夹克男士外套吉普男装大码薄款纯色立领夹克上衣男,,战地吉普琳达男装专营店,//shop.suning.com/70094698/index.html,18770553331
,,,,,
300+,狮臣春秋季新款男青年夹克衫外套立领男装薄款休闲针织夹克,,狮臣懒猫专营店,http://shichen.suning.com,13647790040
,,,,,
30+,战地吉普（Afs Jeep）春秋装男士夹克外套休闲立领男商务绅士 873,,战地吉普宏宇服饰专营店,//shop.suning.com/70080737/index.html,021-52068575
